article,reason,comment
Joe Sun,copyright,carrying out selctive deltion in order to deal with copyvio in history
Evil Ernie,copyright,content was: '{{copyvio|url=http://www.chaoscomics.com/evilerniebio.shtml}}' yep copyvio
Spearhead (band),copyright,content was: '{{copyvio|url=http://www.jambase.com/contests/index.asp?contestID=371}}'yep copyvio
Garscadden,copyright,Copyvio per [[WP:CP]]
Spidercide (comics),copyright,"Listed on [[WP:CP]] since August 12, content was: '{{copyvio|url=http://spiderfan.org/characters/spidercide.html}}'"
Virginia Opera,copyright,content was: '{{copyvio|url=http://www.vaopera.org/html/companyinfo/index.cfm}}'
Guillermo Owen,copyright,"[[WP:CP]], will move new non-copyvio edit"
Magnesium stearate,copyright,Copyvio from http://www.aapspharmscitech.org/articles/pt0303/pt030319/pt030319.pdf
Hélio Gracie,copyright,"content was: '{{copyvio|url=http://www.gracieacademy.com/generations/helio.shtml}}[[Category:Martial arts practitioners|Gracie, Helio]]'"
Hendrik Wade Bode,copyright,"content was: '{{copyvio|url=[http://www.geocities.com/neveyaakov/electro_science/bode.html]}} [[User:Cnwb|Cnwb]] 04:28, 19 August 2005 (UTC) .'"
Fred Durham,copyright,"content was: '{{copyvio|url=http://www.cafepress.com/content/about/pdf/FredDurham_bio.pdf}}--[[User:Durin|Durin]] 23:33, 19 August 2005 (UTC)'"
Shielded Twisted Pair,copyright,content was: '{{copyvio|url=http://www.webopedia.com/TERM/S/shielded_twisted_pair.html}}'yep copyvio
Intrapreneur,copyright,content was: '{{copyvio|url=http://entrepreneurs.about.com/cs/makingthechoice/a/intrapreneur.htm}}'
Roberto Dipiazza,copyright,content was: '{{copyvio|url=http://www.retecivica.trieste.it/new/default.asp?tabella_padre=sezioni&ids=1&tipo=monoblocchi&pagina=-}}'
Grace Christian School,copyright,content was: '{{copyvio|url=[http://www.gcslandrum.org]}}'
Mallet Assembly,copyright,copyvio (http://www.bama.ua.edu/~mallet/old/about.html)
Rod Millen,copyright,content was: '{{copyvio|url=http://www.rodmillen.com/Rodmillen.htm}}'
Pavly the Anchorite,copyright,I still think it is a copyvio - anyway a merge is needed
Collateral Damage (Stargate SG-1),copyright,copyvio from http://www.kellys27.freeserve.co.uk/episodes/season9.htm as listed on WP:CP
Shed Seven,copyright,content was: '{{copyvio|url=http://www.music.us/biography/artist/29378/shed_seven.html}}'
Eduard Einstein,copyright,"content was: '{{copyvio|url=http://www.einstein-website.de/biographies/einsteineduard.html}} [[User:Jay|Jay]] 17:02, 24 August 2005 (UTC)'"
Ours,copyright,content was: '{{copyvio|url=[http://www.kabalarians.com/cfm/SearchDocs/History.cfm]}}'
Bharathidasan Institute of Management,copyright,content was: '{{copyvio|url=http://www.bim.edu/brochure.html}}'
